415,330
443,345
448,380
440,400
458,440
458,468
467,488
482,515
496,540
508,554
588,562
572,585
606,597
560,618
540,628
538,652
548,678
562,694
600,702
640,708
662,706
697,713
699,742
664,750
660,900
655,948
662,958
665,1060
690,1068
703,1095
690,1112
622,1128
615,1290
560,1300
480,1312
400,1315
300,1305
210,1285
120,1250
90,1200
85,1150
100,1100
120,1078
150,1060
185,1048
190,960
200,880
225,820
236,790
240,757
228,746
222,700
232,668
240,646
242,628
246,616
252,636
264,650
282,648
277,668
300,656
340,640
318,636
342,622
342,602
308,583
345,572
346,557
310,526
350,546
372,545
377,520
375,490
372,470
380,440
383,418
388,395
397,355
405,338

606,750
627,750
627,838
606,844

607,882
627,878
627,948
607,950
